Malay,English
saya masih bujang,I’m still single
saya seorang pelajar,I am a student
musim sejuk,winter
musim luruh,autumn
musim bunga,spring
musim hujan,rainy season
bertentangan,opposite
kepunyaan,"belong to, to"
anda semua,all of you
ibu saudara saya,my auntie
bapa saudara saya,my uncle
pinjam,borrow
panggil / talipon,"call, make a call"
tukar,change
panjat  / daki,climb
majukan,develop
berlakon,do some acting
buat senaman/bersukan,do some sport
terangkan,explain
serta,together
sejak,since
selepas,after
sebelah,beside
sedang,in the middle of
pada suatu masa dulu,a long time ago
pada masa lama,for a long time
kamu belajar di mana?,where do you study?
kamu sudah berkahwin?,are you married?
"tidak, saya masih bujang","no, I am still single"
apakah pekerjaan kamu?,what’s your occupation?
"tak pernah, tetapi saya ingin pergi ke sana hujung tahun nanti","never, but I would like to go there end of this year"
masa cuti nanti kamu pergi mana?,where are you going on holidays?
jaga diri baik-baik,take good care (of yourself)
"hai, lama tak jumpa","hi, long time no see"
rambut saya panjang dan hitam,my hair is long and black
saya tinggi dan kurus,I am tall and slim
saya benci memandu sekitar KL,I hate driving around KL
lantai,floor
tangga,stairs
bilik tidur,bed room
tandas ,toilet
